COUNTRY,SHCODE56,OPEN6590,TROPICS,LIFE,ICRGE80,CGB7090,LGDPEA65,GEAP_POP,G7089N,SXP,GR6590,LIFE2,ACCESS,ETHLING
              ALGERIA,1.000000,0.000000,0.500000,3.879500,4.364580,,8.048545,0.219506,2.224775,0.192368,2.281182,15.050520,0.000000,43.000000
                BENIN,3.000000,0.038462,1.000000,3.688879,,9.599075,7.717969,-0.145865,0.931076,0.083853,-0.961245,13.607832,0.000000,62.000000
             BOTSWANA,4.000000,0.423077,0.500000,3.841600,7.000000,20.856937,7.098303,0.427574,-0.053367,0.050314,5.714325,14.757894,1.000000,51.000000
         BURKINA FASO,5.000000,0.000000,1.000000,3.616309,4.750000,1.821359,6.524025,-0.138273,-0.800052,0.043480,1.259165,13.077688,1.000000,68.000000
              BURUNDI,6.000000,0.000000,1.000000,3.751854,,6.941641,6.620959,-0.037582,-1.142923,0.100787,1.385356,14.076409,1.000000,4.000000
             CAMEROON,7.000000,0.000000,1.000000,3.788725,5.656250,5.563420,7.102533,-0.283179,1.051267,0.181455,2.396974,14.354436,0.000000,89.000000
       CENTRAL AFR.R.,9.000000,0.000000,1.000000,3.683867,,0.031035,7.064309,-0.210667,-0.302624,0.088258,-0.498624,13.570876,1.000000,83.000000
                 CHAD,10.000000,0.000000,1.000000,3.566712,,,7.172698,-0.181939,0.924117,0.080104,-2.373307,12.721434,1.000000,69.000000
                CONGO,12.000000,0.000000,1.000000,3.875359,3.691660,9.451449,7.603892,-0.215241,-0.424307,0.076299,2.847460,15.018408,0.000000,66.000000
                EGYPT,14.000000,0.000000,1.000000,3.854394,4.348950,1.239940,7.576551,0.231726,1.031598,0.073204,2.509469,14.856353,0.000000,4.000000
                GABON,16.000000,0.000000,1.000000,3.723281,5.375520,16.212736,8.347273,-0.341439,2.526526,0.326326,1.728889,13.862821,0.000000,69.000000
               GAMBIA,17.000000,0.192308,1.000000,3.496508,5.625000,5.354861,7.166483,-0.108196,-0.032247,0.361245,0.350781,12.225566,0.000000,73.000000
                GHANA,18.000000,0.230769,1.000000,3.832980,3.695310,-0.735440,7.447437,0.012089,-0.185666,0.210914,0.071590,14.691735,0.000000,71.000000
          IVORY COAST,21.000000,0.000000,1.000000,3.693867,6.699400,5.269964,7.894531,-0.227796,0.146164,0.293205,-0.561626,13.644653,0.000000,86.000000
                KENYA,22.000000,0.115385,1.000000,3.824284,5.562500,1.010054,7.136109,-0.050095,1.813504,0.180816,1.610898,14.625149,0.000000,83.000000
           MADAGASCAR,25.000000,0.000000,0.900000,3.732896,4.666660,3.175140,7.629858,-0.226461,-3.357476,0.118737,-1.993212,13.934515,0.000000,6.000000
               MALAWI,26.000000,0.000000,1.000000,3.648057,4.471350,1.942065,6.678845,-0.117878,-0.774989,0.207302,0.923522,13.308323,1.000000,62.000000
                 MALI,27.000000,0.115385,1.000000,3.605498,3.000000,6.372470,6.710300,-0.165342,1.449403,0.083828,0.817806,12.999615,1.000000,78.000000
           MAURITANIA,28.000000,0.000000,0.800000,3.583519,,6.914758,7.385063,-0.161788,2.335422,0.410951,-0.431039,12.841608,0.000000,33.000000
            MAURITIUS,29.000000,1.000000,1.000000,4.097672,,0.489812,8.720984,0.972224,2.219262,0.294838,2.496480,16.790920,0.000000,58.000000
              MOROCCO,30.000000,0.230769,0.000000,3.867026,4.303120,1.948380,7.797822,0.500370,2.135392,0.110001,2.224071,14.953887,0.000000,53.000000
                NIGER,33.000000,0.000000,1.000000,3.583519,5.833330,4.029726,7.120750,-0.148413,1.637241,0.046436,-0.694438,12.841608,1.000000,73.000000
              NIGERIA,34.000000,0.000000,1.000000,3.703768,3.084890,6.036635,7.090547,0.017267,-0.206223,0.138208,1.885647,13.717897,0.000000,87.000000
               RWANDA,36.000000,0.000000,1.000000,3.867026,,2.254463,6.522015,-0.142400,-1.096586,0.113681,3.046293,14.953887,1.000000,14.000000
              SENEGAL,37.000000,0.000000,1.000000,3.693867,4.747390,1.200347,7.685538,-0.081978,1.494168,0.135220,-0.010467,13.644653,0.000000,75.000000
         SIERRA LEONE,39.000000,0.000000,1.000000,3.465736,5.416660,-1.578623,7.597106,-0.162100,1.286743,0.090556,-0.833605,12.011326,0.000000,77.000000
              SOMALIA,40.000000,0.000000,1.000000,3.610918,3.733330,1.326019,7.507262,-0.184945,5.554862,0.088410,-0.980258,13.038728,0.000000,8.000000
         SOUTH AFRICA,41.000000,0.000000,0.000000,3.912023,6.922610,1.031865,8.482662,0.220416,-1.168574,0.172000,0.851250,15.303925,0.000000,88.000000
             TANZANIA,44.000000,0.000000,1.000000,3.728100,4.639060,1.297524,6.575814,-0.025339,-0.548320,0.171604,1.933707,13.898730,0.000000,93.000000
                 TOGO,45.000000,0.000000,1.000000,3.703768,4.346350,,6.816879,-0.162216,0.763656,0.190723,1.074496,13.717897,0.000000,71.000000
              TUNISIA,46.000000,0.076923,0.000000,3.908015,4.591140,7.483005,7.806739,0.571827,2.059637,0.103016,3.436682,15.272581,0.000000,16.000000
               UGANDA,47.000000,0.115385,1.000000,3.784190,2.973950,-1.449307,7.100666,-0.138185,0.299895,0.265515,-0.411321,14.320091,1.000000,
                ZAIRE,48.000000,0.000000,1.000000,3.747149,2.981250,0.000000,6.934803,-0.264551,0.215794,0.147266,-1.153167,14.041122,1.000000,90.000000
               ZAMBIA,49.000000,0.000000,1.000000,3.756538,4.136450,-3.311517,7.657773,-0.182007,-1.196577,0.543113,-1.880741,14.111579,1.000000,82.000000
             ZIMBABWE,50.000000,0.000000,1.000000,3.832980,4.437500,-3.341565,7.579316,0.327347,-2.449724,0.166069,0.858008,14.691735,1.000000,54.000000
             BARBADOS,52.000000,1.000000,1.000000,4.186620,,2.955246,8.700363,0.625903,0.498430,0.166344,3.221690,17.527784,0.000000,22.000000
               CANADA,54.000000,1.000000,0.000000,4.268298,9.671870,-2.527105,9.595284,0.573220,1.755456,0.095884,2.737583,18.218365,0.000000,75.000000
           COSTA RICA,55.000000,0.153846,1.000000,4.143135,5.471350,0.780401,8.521543,0.762993,-1.332609,0.193458,1.409263,17.165564,0.000000,7.000000
       DOMINICAN REP.,57.000000,0.000000,1.000000,3.981549,4.515620,5.087336,7.853620,0.731457,0.000000,0.134594,2.119744,15.852733,0.000000,4.000000
          EL SALVADOR,58.000000,0.038462,1.000000,3.958907,2.583330,1.843293,8.145105,0.166774,0.350027,0.156737,0.186289,15.672942,0.000000,17.000000
            GUATEMALA,60.000000,0.115385,1.000000,3.850147,2.841140,1.396405,8.162001,0.045501,1.673515,0.113989,0.710150,14.823636,0.000000,64.000000
                HAITI,61.000000,0.000000,1.000000,3.775057,2.578640,-4.720000,7.399124,0.083981,1.447490,0.077388,-0.254863,14.251056,0.000000,1.000000
             HONDURAS,62.000000,0.000000,1.000000,3.871201,3.393220,2.950857,7.710208,0.143103,1.537091,0.231960,0.840625,14.986197,0.000000,16.000000
              JAMAICA,63.000000,0.384615,1.000000,4.155753,4.696870,-1.389097,8.316304,0.638868,0.000000,0.136809,0.775164,17.270285,0.000000,5.000000
               MEXICO,64.000000,0.192308,0.500000,4.067316,5.414060,-1.711022,8.815407,0.622504,1.655473,0.024131,2.215183,16.543060,0.000000,30.000000
            NICARAGUA,65.000000,0.000000,1.000000,3.883624,2.999470,-4.232852,8.450117,0.051235,0.392736,0.193900,-2.238022,15.082532,0.000000,18.000000
    TRINIDAD & TOBAGO,71.000000,0.000000,1.000000,4.168214,6.088540,9.370000,9.386358,0.465677,-1.444575,0.083058,0.759779,17.374010,0.000000,56.000000
               U.S.A.,72.000000,1.000000,0.000000,4.248495,9.804680,-1.606360,9.872031,0.364561,2.059861,0.012626,1.760574,18.049711,0.000000,50.000000
            ARGENTINA,73.000000,0.000000,0.000000,4.180522,4.281250,-0.824145,8.972415,-0.154254,2.591092,0.052615,-0.249489,17.476768,0.000000,31.000000
              BOLIVIA,74.000000,0.769231,1.000000,3.770459,2.270830,1.251856,7.823476,-0.067652,1.592692,0.184518,0.845804,14.216364,1.000000,68.000000
               BRAZIL,75.000000,0.000000,0.500000,4.021774,6.359370,-0.919181,8.164983,0.550418,-0.307962,0.054870,3.097049,16.174665,0.000000,7.000000
                CHILE,76.000000,0.576923,0.100000,4.063885,6.325520,2.660739,8.691293,0.594723,-0.944324,0.148791,1.126503,16.515163,0.000000,14.000000
             COLOMBIA,77.000000,0.192308,1.000000,3.996364,5.296870,2.089970,8.191361,0.744379,1.881451,0.094167,2.392779,15.970926,0.000000,6.000000
              ECUADOR,78.000000,0.692308,1.000000,4.000034,5.416660,1.545491,8.045403,0.450985,1.014672,0.105606,2.207740,16.000271,0.000000,53.000000
               GUYANA,79.000000,0.120000,1.000000,4.110874,2.841140,0.792485,8.058846,0.927509,2.110034,0.507238,-1.469485,16.899282,0.000000,58.000000
             PARAGUAY,80.000000,0.076923,0.500000,4.165113,4.396870,2.620116,7.882504,0.594742,1.828348,0.097053,2.061514,17.348169,1.000000,14.000000
                 PERU,81.000000,0.115385,1.000000,3.895894,3.234370,-0.171591,8.477870,0.442750,1.640804,0.152847,-0.558492,15.177987,0.000000,59.000000
              URUGUAY,83.000000,0.038462,0.000000,4.210645,5.119270,-0.285716,8.666333,-0.066244,1.868092,0.090999,0.882160,17.729532,0.000000,20.000000
